formula,image
"d s ^ { 2 } = ( 1 - \frac { 2 m } { r } ) ( - d \tau ^ { 2 } + d \sigma ^ { 2 } ) ,",5069639bad.png
\left\langle \begin{array} { c c } { r } \\ { t } \\ \end{array} \right\rangle _ { n - 1 } \left\langle \begin{array} { c c } { r } \\ { q } \\ \end{array} \right\rangle _ { n - 1 } = \left\langle \begin{array} { c c } { r } \\ { q } \\ \end{array} \right\rangle _ { n - 1 } \left\langle \begin{array} { c c } { r } \\ { t } \\ \end{array} \right\rangle _ { n - 1 },61a36d3185.png
"r ^ { 2 } = - \sqrt { \frac { D _ { 2 } Q } { c } } \left[ \operatorname { c o t h } ( \sqrt { D _ { 2 } } ( I ( A ) + \tilde { c } ) ) - 1 \right] ,",22884df4ec.png
\frac { 4 \pi } { e _ { D k } ^ { 2 } } \simeq \frac { 1 } { 2 \pi } \operatorname { l n } \frac { \Lambda \operatorname { s i n } ( \widehat { \theta } _ { k } ) } { a _ { D k } N },505b7bf320.png
\delta ( x ^ { 1 1 } ) = { \frac { 1 } { 2 l } } + { \frac { 1 } { l } } \sum _ { n = 1 } ^ { \infty } \operatorname { c o s } { \frac { n \pi x ^ { 1 1 } } { l } } \ .,6076d82c15.png
"\begin{array} { c } { D ( \beta , R ) - i \mu \gamma ^ { 0 } = e ^ { \mu \beta t } D ( \beta , R ) \ e ^ { - \mu \beta t } , } \\ { K _ { b c } ( t , \vec { x } ; t ^ { \prime } , \vec { x ^ { \prime } } ) = e ^ { \mu \beta t } k ( t , \vec { x } ; t ^ { \prime } , \vec { x ^ { \prime } } ) \ e ^ { - \mu \beta t \prime } , } \\ \end{array}",27745b69c7.png
"{ \cal S } ^ { n } \equiv { \cal S } \left( \varphi _ { n } ^ { \alpha } , \varphi _ { n + 1 } ^ { \alpha } , \nabla \varphi _ { n } ^ { \alpha } , \nabla \varphi _ { n + 1 } ^ { \alpha } \right) .",2cc842a40c.png
S _ { 0 } = \frac { ( k + 2 ) } { 4 \pi } \int d ^ { 2 } x \left[ 4 \partial \theta { \bar { \partial } } \theta + e ^ { 2 \theta } \partial \mu { \bar { \partial } } \mu ^ { \ast } \right],71f19ef83d.png
"\dot { q } _ { a } ^ { n _ { a } } = \dot { q } _ { a } ^ { n _ { a } } ( q ^ { r } , p ^ { n } ) .",5cbbe4c1ca.png
"S = \int d ^ { 2 } y \left\{ \frac { 1 } { 2 } \, \partial _ { \mu } \vec { \psi } \, \partial ^ { \mu } \vec { \psi } - U ( \vec { \psi } ) \right\} .",3d54af8afe.png
"Z ( t ) = { \frac { \sqrt { \pi } } { 2 } } { \frac { 1 } { b \hbar ^ { 2 } t ^ { 3 / 2 } } } F \! \left( { \frac { 1 } { 2 } } , { \frac { 1 } { 2 } } ; 1 ; { \frac { b ^ { 2 } - g ^ { 2 } } { 2 b ^ { 2 } } } \right) .",4ff76e631f.png
"< \psi | \varphi > = \int _ { M } d ^ { n } q \ \sqrt { g ( q ) } \, \psi ^ { * } ( q ) \varphi ( q ) \ \ \ ,",75eb1125de.png
"Z _ { i } = \frac { 2 \pi M _ { 1 1 } ^ { 3 } V _ { 7 } } { V _ { 3 , i } ^ { 2 } } \ \ ( i \leq N _ { 3 } ) \ , \quad \frac { 1 } { 2 \kappa _ { 4 } ^ { 2 } } = Z _ { N _ { 3 } + 1 } = { 2 \pi M _ { 1 1 } ^ { 9 } V _ { 7 } } \ .",742bd4e915.png
\delta P ^ { \alpha } = - { \frac { i } { 2 } } \; ( D _ { \beta } D _ { \alpha } \Lambda ^ { - } ) P ^ { \beta } + { \frac { 1 } { 2 } } ( N - 2 ) ( \partial _ { - } \Lambda ^ { - } ) P ^ { \alpha } \; .,42c8693162.png
z = 4 \frac { a _ { 2 } a _ { 3 } } { a _ { 1 } ^ { 2 } } .,7fda586069.png
"e ^ { 2 A ( y ) } = \frac { e ^ { - \beta \operatorname { t a n h } ^ { 2 } ( a y ) } } { ( \operatorname { c o s h } ^ { 2 } ( a y ) ) ^ { 2 \beta } } \propto e ^ { - 4 a \beta | y | } \, \, \, \, ( y \rightarrow \infty )",7f7125fa92.png
"1 \leq \mu , \nu \leq N ; \ 1 \leq a , b \leq n",68c5355c7f.png
P = \frac { h \rho ^ { 2 } } { 2 \gamma } + \gamma ( K T ) ^ { 2 } C _ { 1 } ( h ) .,2b5a97cb9a.png
"\varepsilon = e ^ { - { \frac { 1 } { 2 } } \, ( E + U ) } + i { \frac { B } { \sqrt { 2 } } }",13da42ea35.png
"\Phi = \tilde { \Phi } , ~ ~ ~ \Psi ~ = ~ { \cal F } ~ \tilde { \Psi } , ~ ( \tilde { \Psi } ~ = ~ { \cal G } { \Psi } ) , ~ ~ ~ \Phi ^ { i } = e _ { \mu } ^ { i } f _ { a } ^ { \mu } \tilde { \Phi } ^ { a } , ~ ( \tilde { \Phi } ^ { a } = f _ { \mu } ^ { a } e _ { i } ^ { \mu } { \Phi } ^ { i } ) .",146e759623.png
"[ L _ { \mu } , L _ { \nu } ] = - i m \epsilon _ { \mu \nu \lambda } \left( L ^ { \lambda } + \frac { P ^ { \lambda } } { m } ( P J - \varepsilon \alpha m ) \right) ,",74aacc898d.png
"{ \frac { \partial } { \partial x } } \, T ( x , y , \lambda ) ~ = ~ - \, L ( x , \lambda ) \, T ( x , y , \lambda ) \vspace { - 0 . 2 c m }",1fab5cf962.png
"( p ^ { \prime } - p ) ^ { \mu } G _ { \mu } ( p , - p ^ { \prime } , p ^ { \prime } - p ) = - i g \, [ \Sigma ( p ^ { \prime } ) - \Sigma ( p ) ] \, ,",9ba8e6cb41.png
{ \Theta } _ { n } ( \theta ) = - \mathrm { s g n } ( n ) \frac { e ^ { i n { \theta } } } { e ^ { i { \theta } } - e ^ { - i { \theta } } },9cb841f572.png
\psi ( \vec { \lambda } ) = \prod _ { i < j } \operatorname { s i n } \left( \frac { \lambda _ { i } - \lambda _ { j } } { 2 } \right) \phi ( \vec { \lambda } ),79e5a79b0e.png
"\phi _ { i } = v _ { i } + \tilde { \phi } _ { i } ~ ~ ,",170e4fea8b.png
"\Theta ( z ) = T ^ { F } ( z ) - T ^ { S } ( z ) = \sum _ { k = 1 } ^ { 3 h - 3 } c _ { k } ^ { ( h ) } \Omega ^ { k + 1 - h _ { 0 } } ( z ) ,",c7bf3c414c.png
"\Psi _ { { \cal E } , l } = \chi ( r ) e ^ { i l \varphi } e ^ { - i { \cal E } t / \hbar } ,",44de9e538d.png
"\mathrm { V o l ( Q ^ { 1 , 1 , 1 } ) } = \oint _ { Q ^ { 1 , 1 , 1 } } \left( \frac { 3 } { 8 \Lambda } \right) ^ { 7 / 2 } 8 \, \prod _ { i = 1 } ^ { 3 } \operatorname { s i n } \theta _ { i } \, d \theta _ { i } d \phi _ { i } \, d \psi = \frac { \pi ^ { 4 } } { 8 } \left( \frac { 6 } { \Lambda } \right) ^ { 7 / 2 } \, .",323b696bd1.png
"* \alpha \wedge \beta = * \beta \wedge \alpha = \frac { 1 } { p ! } \, \alpha _ { \mu _ { 1 } \cdots \mu _ { p } } \beta ^ { \mu _ { 1 } \cdots \mu _ { p } } \, * 1 \, .",2c11c8ea25.png
"p _ { L } ^ { 2 } = \frac { 1 } { 2 T _ { 2 } U _ { 2 } } | { \bar { T } } U n _ { 2 } - { \bar { T } } n _ { 1 } - i U ^ { \prime } m _ { 1 } + 3 m _ { 2 } | ^ { 2 } = 2 ,",739e30a714.png
"H = A [ I , x , p , K , \Lambda ] / J ( I , x , p , K , \Lambda ) .",65a19284df.png
\sqrt { \frac { 3 } { \pi } } m _ { P l } \leq \sqrt { N } E d \leq \sqrt { 4 \pi } \frac { d ^ { 2 } } { \lambda ^ { 2 } } \frac { m _ { e } ^ { 2 } } { \sqrt { \alpha } },c8ab8d5748.png
"H _ { 0 , i } ( L ) : = \int _ { S ^ { 1 } } \left( u _ { 1 } \right) _ { i i } , \qquad \forall \, i = 1 , \ldots , s ,",5864f5c8f8.png
"t ^ { \Lambda } ( r ) \, = \, 2 \pi ( p ^ { \Lambda } + \mathrm { i } \ell ^ { \Lambda } ( r ) )",2b904b4a82.png
\rho ( E ) = { \frac { d N ( E ) } { d E } } \approx e ^ { \pi Q ^ { 2 } } [ \delta ( E ) + 2 \pi ^ { 2 } Q ^ { 3 } \theta ( E ) ] .,27dd43c9cd.png
"M = \sum _ { i } ^ { N } \prod _ { j : j \neq i } \frac { \theta ( \lambda _ { i } - \lambda _ { j } + l \eta ) } { \theta ( \lambda _ { i } - \lambda _ { j } ) } T _ { i } ,",5b0055be9f.png
\dot { \theta } = - \beta \operatorname { s i n } \theta - \operatorname { t a n } \theta + \eta,2bd938a945.png
m ^ { 1 / 3 } \lambda ^ { 2 } = 2 \pi ( 4 \pi k _ { 1 1 } ^ { 2 } ) ^ { 2 / 3 } \ .,177af3a06e.png
= \frac { 1 } { \sqrt { 2 \pi k i } } ( { \cal M } ^ { - 1 } - 1 ) \frac { e ^ { - i [ \Omega ] \theta } } { 1 - e ^ { i \theta } } .,2baf2e3d94.png
"{ \cal W } _ { \mathrm { i n s t } } = \frac { \tilde { \Lambda } ^ { 2 N + 1 } } { \mathrm { d e t } M } \, ,",59c47a004b.png
"\left| r - \frac { p s } { q } \right| \not \in \{ | n | , | n | + 1 , | n | + 2 , \ldots \} \, .",4605238414.png
\bar { \rho } ( r ) = - \frac { \operatorname { s i n } F \pi } { { \pi } ^ { 3 } m } \int _ { | m | } ^ { \infty } d q \frac { q ^ { 3 } } { \sqrt { q ^ { 2 } - m ^ { 2 } } } \times,7ce76bae4f.png
H _ { 2 } = \frac { 1 } { 2 } \sum _ { k } f _ { k } ^ { 2 } ( n _ { k } ) n _ { k } .,328fedaabd.png
"\{ F , G \} = \sum \int _ { \Omega } \int _ { \Omega } { \frac { \delta F } { \delta \phi _ { A } ( x ) } } { \frac { \delta G } { \delta \phi _ { B } ( y ) } } \{ \phi _ { A } ( x ) , \phi _ { B } ( y ) \} ,",658c90ed65.png
"K _ { s t } \, { \tilde { \beta } } _ { s u } + K _ { s u } \, { \tilde { \beta } } _ { s t } = K _ { u t } \, { \tilde { \beta } } _ { u s } + K _ { u s } \, { \tilde { \beta } } _ { u t } ,",6db5d64438.png
"\frac { \partial _ { r } \tilde { \cal S } ( \Phi , \Psi ) } { \partial \Psi _ { A } } = 0 \quad \Rightarrow \quad \Psi ^ { A } = \left( \frac { \partial _ { r } I } { \Phi _ { B } } ( \Phi + \Psi ) \right) { \cal O } _ { B } { } ^ { A } ,",3b07677d2e.png
2 \gamma ^ { \mu } \langle \partial _ { \mu } \psi \gamma _ { 2 1 } \tilde { \psi } \rangle _ { 2 } = { \cal J } .,7f47b747dc.png
"y ^ { 2 } = ( x - e _ { 1 } ( \tau ) u ) ( x - e _ { 2 } ( \tau ) u ) ( x - e _ { 3 } ( \tau ) u ) ,",7573ff1cbd.png
"\Sigma \equiv \left( \begin{array} { c c } { D } & { C } \\ { B } & { A } \\ \end{array} \right) , \qquad A D - B C = 1 .",7b3c8b25f1.png
"{ \cal H } _ { s l o w } = \frac { 2 } { a ( U _ { c } ) } L _ { \alpha } L _ { \alpha } + E ( U _ { c } ) ,",524651e7ae.png
"\frac { \partial a _ { n } } { \partial A _ { m } } = - \frac { e L } { 2 \pi m } a _ { n } , \ m \neq 0 , \quad \frac { \partial a _ { n } } { \partial c } = 0 .",394c53929d.png
"\phi _ { a } ( \psi , \bar { \psi } ) = \frac { 1 } { | \psi | ^ { 2 } } \bar { \psi } \Lambda _ { a } ^ { ( \frac { 1 } { 2 } ) } \psi \, .",18d2005a98.png
\kappa ^ { \prime } = \kappa \frac { 1 + \lambda \frac { 1 + \kappa } { 2 } } { 1 - \lambda \frac { 1 + \kappa } { 2 } },1e6f78044e.png
\nabla ^ { 2 } \delta C _ { i T } = \theta \epsilon _ { i j k } \epsilon ^ { k l m } \partial ^ { j } \partial _ { l } A _ { m } = - \theta \nabla ^ { 2 } A _ { i } .,1a77fa2d0e.png
{ \mathrm { R e } } ( S ) = { \frac { 1 } { 2 \pi } } { \frac { N ^ { \prime } N } { N ^ { \prime } - N } } \operatorname { l o g } \left| { \frac { a N ^ { \prime } } { a ^ { \prime } N } } \right| ~ .,34b45f4a16.png
f _ { + } \left( \hat { \mathcal { T } } \right) \; = \; f _ { - } \left( - \hat { \mathcal { T } } \right) \; .,18904db5ac.png
\left( \frac { 1 } { c ^ { 2 } } \frac { \partial ^ { 2 } } { \partial t ^ { 2 } } - \nabla ^ { 2 } \right) \phi = 0,11fb6ade14.png
"B ^ { ( 2 ) } = i d x ^ { \underline { a } } d \bar { \theta } \Gamma _ { \underline { a } } \theta ,",6a1e61f9b0.png
\pi ( x ^ { - } = \infty ) + \pi ( x ^ { - } = - \infty ) = \sigma ( x ^ { - } = \infty ) + \sigma ( x ^ { - } = - \infty ) = 0 .,27760c8aeb.png
"\bar { \chi } \dot { o } ^ { A } o _ { A } + \chi \dot { \bar { o } } ^ { B ^ { \prime } } \bar { o } _ { B ^ { \prime } } = 0 ,",7db4706ca3.png
\mathrm { d i m } ( X ) + \mathrm { d i m } ( Y ) = \mathrm { d i m } ( M ) .,731c268a47.png
"L _ { g a u g e } = \frac { 1 } { 8 e _ { a } ^ { 2 } } \int d ^ { 2 } x d \theta ^ { + } d { \bar { \theta } } ^ { + } { \bar { \Upsilon } } _ { a } \Upsilon _ { a } ,",48c8483233.png
"b _ { { \frac { j } { 2 } } } b _ { - { \frac { j } { 2 } } } | \sigma \rangle = H ^ { \prime } ( \sigma _ { j - 1 } , \sigma _ { j } , \sigma _ { j + 1 } ) | \sigma \rangle",772a26b799.png
d s _ { 4 } ^ { 2 } = - d t ^ { 2 } - \frac { 3 } { \Lambda _ { 4 } } \operatorname { s i n } ^ { 2 } \left( \sqrt { \frac { \Lambda _ { 4 } } { 3 } } t \right) ( d \chi ^ { 2 } + \operatorname { s i n } ^ { 2 } \chi ( d \theta ^ { 2 } + \operatorname { s i n } ^ { 2 } \theta d \phi ^ { 2 } ) ) .,73fdde77b2.png
H _ { a } = \sum _ { b \neq a } ^ { N } \frac { ( t _ { a } \cdot t _ { b } ) } { Z _ { a } - Z _ { b } } .,5aad04eed4.png
"X _ { R E } ^ { \pm } = X _ { S } ^ { \pm } | _ { q = q _ { 0 } } , \quad \widetilde { M } _ { R E } = \widetilde { M } _ { S } | _ { q = q _ { 0 } } , \qquad \left. { \frac { \partial { \cal V } _ { R C } } { \partial q } } \right| _ { q = q _ { 0 } } = 0 .",77a22e3c0d.png
d e t _ { q } K P _ { - } = P _ { - } K _ { 1 } { \cal P } K _ { 1 } P _ { - } = ( - q ^ { - 1 } ) ( \alpha \delta - q \gamma \beta ) P _ { - } \quad .,62b31f2ac3.png
"U ^ { \nu } { } _ { \rho } U ^ { \mu } { } _ { \sigma } \theta ^ { \rho \sigma } = \theta ^ { \nu \mu } \, .",37ed97cb2b.png
"\kappa ^ { i } ( z ) = - a ^ { \prime } ( z ) \delta _ { \; z } ^ { i } \, .",330083eb15.png
\psi _ { n + 1 } + \psi _ { n - 1 } + 2 \lambda \operatorname { c o s } ( \theta + 2 \pi n \eta ) \psi _ { n } = E \psi _ { n },4d49a1e5ca.png
"I _ { n + p + 1 } \left( \left| a \right| , Q \right) = \left| a \right| ^ { p + 1 } \operatorname { e x p } \left( - \left| a \right| Q \right) \left( - \right) ^ { n } G \left( n + p + 1 , p + 2 , \left| a \right| Q \right)",4437ab4fb1.png
S _ { n } ( \rho a ) S _ { n } ( - \rho R ) - e ^ { - 2 \rho ( R - a ) } S _ { n } ( \rho R ) S _ { n } ( - \rho a ),11219e7fc6.png
"\frac { d ^ { 2 } \, \overline { { \cal { N } } } } { d u ^ { 2 } } + \frac { d \, \overline { { \cal { N } } } } { d u } - 2 { \operatorname { s i n } } ( \overline { { \cal { N } } } ) = 0",44589b6d17.png
"\bar { T } _ { f , i } = \langle f | \hat { H } _ { I } + \hat { H } _ { I } ( E _ { i } - \tilde { H } + i \varepsilon ) ^ { - 1 } \hat { H } _ { I } | i \rangle ,",11b6b698ff.png
"d _ { n _ { j } + N - j + 1 , i } = \sum _ { p = 0 } ^ { \infty } A _ { p } \left( A _ { p + | n _ { j } + i - j | } - A _ { p + n _ { j } + 2 N + 2 - i - j } \right) .",38c2237a68.png
d s _ { A d S _ { d } } ^ { 2 } = { \frac { d z ^ { 2 } } { 1 + z ^ { 2 } } } + ( 1 + z ^ { 2 } ) d s _ { A d S _ { d - 1 } } ^ { 2 } \ .,56c8ede6cb.png
{ E _ { \mu } } ^ { \nu } = \delta _ { \mu } ^ { \nu } - \hat { A } _ { \mu } ^ { A } \xi _ { A } ^ { \nu },33325e32e9.png
\prod _ { j = 1 } ^ { J + m } ( y ^ { \prime } q ^ { 2 J ^ { \prime } } + y q ^ { - ( \varpi - 2 J + 2 j - 1 ) } ) \prod _ { \ell = 1 } ^ { J ^ { \prime } + m ^ { \prime } } ( y ^ { \prime } + y q ^ { \varpi - 2 J ^ { \prime } + 2 m + 2 \ell - 1 } ) =,2569560d11.png
"[ L _ { m } , L _ { n } ] = ( m - n ) L _ { m + n } + \delta _ { m + n , 0 } \frac { m ^ { 3 } - m } { 1 2 } c ,",784f9f08c3.png
"\delta X ^ { I } ( z ) = - \xi ^ { M } ( z ) \partial _ { M } X ^ { I } ( z ) ,",1725ccc7cb.png
"S ( r , t ) = \frac { 2 } { \pi } \frac { \sqrt { M _ { 0 } \pi } } { \lambda } \left( \operatorname { e x p } \left( \frac { k \lambda } { \sqrt { M _ { 0 } \pi } } \right) - 1 \right) e ^ { - \lambda t } \left( e ^ { \lambda r } - \frac { \sqrt { M _ { 0 } \pi } } { \lambda } \right)",7cdcd952fa.png
"\bar { \lambda } \gamma ^ { ( n ) } \psi = \alpha _ { n } \bar { \psi } \gamma ^ { ( n ) } \lambda , \qquad \alpha _ { n } = \left\{ \begin{array} { l l } { - 1 } & { \mathrm { ~ f o r ~ } n = 0 , 1 , 4 , 5 } \\ { + 1 } & { \mathrm { ~ f o r ~ } n = 2 , 3 } \\ \end{array} \right. ,",479bd68236.png
U ^ { \prime } ( w ^ { \prime } ) = \frac { \int D w P ( w ) \chi ( R ( w ) = w ^ { \prime } ) U ( w ) } { \int D w P ( w ) \chi ( R ( w ) = w ^ { \prime } ) },831c2342c4.png
"\bar { V } _ { s t } \psi _ { a ^ { \prime } } ^ { t } = 0 \; , \; \; \; \; \; \left( \bar { V } _ { s t } - \omega _ { \bar { n } } ^ { 2 } \bar { g } _ { s t } \right) \psi _ { \bar { n } } ^ { t } = 0 \; \; \; ( \omega _ { \bar { n } } \neq 0 ) ,",5fe961f54d.png
"\langle 0 | \bar { \psi } \, \psi | 0 \rangle \, = \, - \, \frac { | e B | } { 2 \pi } \, \, .",1629808e1e.png
"d r \otimes d r + ( { \frac { \pi L ^ { 2 } P } { 3 } } ) ^ { 2 / \beta } e ^ { ( 2 r / L ) } \, \, \eta _ { i j } d x ^ { i } \otimes d x ^ { j } .",4b55b077a2.png
d ( \Lambda ) = \ 3 - { \frac { M ^ { 2 } } { 3 H _ { 0 } ^ { 2 } } } - { \frac { M ^ { 2 } \Lambda } { 9 H _ { 0 } ^ { 4 } } } - { \frac { m } { 2 \sqrt \pi M _ { \mathrm { p } } } } \ .,5445951a59.png
A ( y ) = { \frac { 2 \beta } { 3 \alpha } } \left[ \operatorname { l n } ( \operatorname { c o s h } ( \alpha \xi ( y - y _ { 0 } ) ) ) - { \frac { 1 } { 4 } } { \frac { 1 } { \operatorname { c o s h } ^ { 2 } ( \alpha \xi ( y - y _ { 0 } ) ) } } \right] + C ~ .,5420f79125.png
"k _ { 0 \pm } ^ { 2 } = \frac { 1 } { 2 } \left[ \left( s ^ { 2 } + 2 \overrightarrow { k } ^ { 2 } \right) \pm \sqrt { s ^ { 4 } + 4 v _ { o } ^ { 2 } \overrightarrow { k } ^ { 2 } } \right] ,",73cf3abf09.png
A _ { p a r e n t } ^ { \mathrm { I I I } } = - T _ { p } \int d ^ { p + 1 } { \xi } \left[ { \Phi } ^ { ( p + 1 ) / 2 } \sqrt { - g } + { \Lambda } _ { i j } \left( { \Phi } ^ { - 1 } g ^ { i j } - h ^ { i j } \right) \right] .,2d8971d32d.png
\Delta _ { F ^ { 4 } } = \frac { 1 } { { \cal { N } } \cdot 2 ^ { d + 1 } } \int _ { { \cal F } } \frac { d ^ { 2 } \tau } { \tau _ { 2 } ^ { 2 } } \frac { \bar { \Xi } _ { F ^ { 4 } } } { \bar { \eta } ^ { 2 4 } },4c9789730b.png
"\rho ( z _ { 1 } ; \sigma _ { 1 } | z _ { 2 } ; \sigma _ { 2 } ) = 4 \pi ^ { 2 } \left[ d ( z _ { 1 } ; \sigma _ { 1 } | z _ { 2 } ; \sigma _ { 2 } ) - x ( z _ { 1 } ; \sigma _ { 1 } | z _ { 2 } ; \sigma _ { 2 } ) \right] \, ,",1bb887f08e.png
G _ { 2 } ( x - y ) = { \frac { 1 } { 2 M } } e ^ { - | x - y | } .,75b8d0ec8c.png
\zeta ^ { \mu } = \epsilon ^ { \mu \nu } \partial _ { \nu } { W } ~ .,2b79fc7f2e.png
{ \tilde { C } } ( R ) = \sum _ { i } n _ { i } ( n _ { i } + 1 - 2 i ) = - \sum _ { i } c _ { i } ( c _ { i } + 1 - 2 i ) = \sum _ { i } ( n _ { i } ^ { 2 } - c _ { i } ^ { 2 } ),5e49265ce4.png
g = \frac { 1 } { \sqrt { 1 - \vert \psi \vert ^ { 2 } } } \left( \begin{array} { c c } { 1 } & { \psi ^ { * } } \\ { \psi } & { 1 } \\ \end{array} \right),63cbe538ec.png
"{ \cal O } ( \Pi , \Phi ) | \Psi \rangle \Rightarrow { \cal O } \left[ \frac { 1 } { i } \frac { \delta } { \delta \phi } , \phi \right] \Psi ( \phi ) \; .",64494c5363.png
"\Gamma _ { a } \, = \, \frac { 1 } { 2 } \gamma ^ { b } \nabla _ { a } \gamma _ { b } \, = \, \frac { 1 } { 2 } \gamma ^ { b } n ^ { \alpha } \partial _ { a } \partial _ { b } X _ { \alpha } .",2aae71eecd.png
"b ^ { \pm } ( p ) \equiv \frac { 1 } { \sqrt { p } } \rho ( \mp p ) , \hspace { 5 m m } p > 0 ,",2b33376871.png
G = \frac { 1 } { 4 } ( 1 + ( - 1 ) ^ { F } ) ( 1 + ( - 1 ) ^ { F ^ { \prime } } ),31a93f7e4f.png
V = \int \sqrt { - g } d r d \theta = \int \left( 1 + \frac { r ^ { 2 } } { a ^ { 2 } } \right) ^ { 2 / 3 } r d r d \theta,6c3eb2c002.png
"D _ { \mu \nu } ^ { ( 0 ) } ( p ) = \frac { 1 } { p ^ { 2 } + \kappa ^ { 2 } } \left[ ( \delta _ { \mu \nu } - \frac { p _ { \mu } p _ { \nu } } { p ^ { 2 } } ) - \kappa \epsilon _ { \mu \nu \lambda } \frac { p _ { \lambda } } { p ^ { 2 } } \right] + \xi \, \frac { p _ { \mu } p _ { \nu } } { ( p ^ { 2 } ) ^ { 2 } }",4e41ccbba9.png
"M = Q [ \partial _ { t } ] = \mu \frac { \Sigma _ { d - 2 } } { \Omega _ { d - 2 } } ,",747530cac8.png
"< m , \ell | m ^ { \prime } , \ell ^ { \prime } > = \delta _ { m m ^ { \prime } } \, \delta _ { \ell \ell ^ { \prime } } \ \ \ .",645441c17e.png
H = - B ^ { - 1 } V,429f0aeb71.png
q _ { \! _ { J } } ^ { 2 } \ = \ m _ { \! _ { J } } c ^ { 2 } R,1e562120dc.png
\phi = - \frac { 2 } { 3 } ( Z _ { 1 } \cdot K ) .,3855f89f4f.png
"d s ^ { 2 } = \frac { 1 } { ( f + g ) ^ { 2 } } \left( \frac { 4 } { \lambda } f ^ { \prime } g ^ { \prime } ( - d \tau ^ { 2 } + d y ^ { 2 } ) + d \vec { x } ^ { 2 } \right) ,",6959ce370a.png
"\sum _ { a } \ \left[ \Phi ^ { a } , ( \nabla \Phi ^ { a } ) ^ { \dag } \right] + \left[ ( \Phi ^ { a } ) ^ { \dag } , \nabla \Phi ^ { a } \right] = 0 \ .",182c0e3657.png
"\delta ( 0 ) = { \frac { 1 } { 2 \ell } } \sum _ { k ^ { 5 } } 1 = { \frac { 1 } { 2 \ell } } \sum _ { k ^ { 5 } } { \frac { k ^ { 2 } - ( k ^ { 5 } ) ^ { 2 } } { k ^ { 2 } - ( k ^ { 5 } ) ^ { 2 } } } \ ,",7c9330d5a5.png
{ \cal H } = \frac { 1 } { 2 } { \dot { \phi } } ^ { 2 } + V ( \phi ) .,593509ebec.png
"\bar { g } _ { \mu \nu } = \mathrm { d i a g . \ } ( - 1 , e ^ { 2 \sqrt { \bar { \Lambda } } t } , e ^ { 2 \sqrt { \bar { \Lambda } } t } , e ^ { 2 \sqrt { \bar { \Lambda } } t } ) , \ \ \mathrm { ( ~ d S _ 4 ~ b a c k g r o u n d , ~ \bar { \Lambda } > 0 ~ ) }",6275651256.png
"S _ { 0 } \, = \, \int d ^ { k } x \Big ( - { \frac { 1 } { 4 } } T r ( F ^ { \mu \nu } \, F _ { \mu \nu } ) + i \overline { \psi } \gamma ^ { \mu } \big ( \partial _ { \mu } - i A _ { \mu } \big ) \psi \Big )",577f22a206.png
"d { \cal O } _ { A } ^ { ( k ) } = \{ Q _ { A } , { \cal O } _ { A } ^ { ( k + 1 ) } \} , ~ ~ ~ A = 1 , 2 .",6b728e7c6a.png
3 3 T = { \frac { 1 } { 2 } } [ \dot { \xi } ^ { 2 } + { \frac { ( p _ { \phi } + \operatorname { c o s } ( \xi ) p _ { \psi } ) ^ { 2 } } { \operatorname { s i n } ^ { 2 } ( \xi ) } } + s ^ { - 2 } p _ { \psi } ^ { 2 } ] .,79d3dd0aba.png
"q _ { 1 } - q _ { 2 } = 2 n \geq 0 \; , \quad q _ { 2 } - q _ { 3 } - q _ { 4 } = 2 k \geq 0 \; , \quad q _ { 3 } \geq 0 \; , \quad q _ { 4 } \geq 0 \; .",102009b318.png
\tilde { C } _ { 1 2 3 } = - \frac { J ^ { 3 / 2 } } { N } \frac { 1 } { n ^ { 2 } \pi ^ { 2 } } \operatorname { s i n } ^ { 2 } ( \frac { n \pi J _ { 1 } } { J } ) \; ( 1 - \frac { \l ^ { \prime } n ^ { 2 } } { 2 } ) .,79c678140c.png
"d s ^ { 2 } = H _ { p } ( u ) ^ { - 1 / 2 } [ - d t ^ { 2 } + ( d { { \vec { x } } ^ { \parallel } } ) ^ { 2 } + d \xi ^ { 2 } ] + H _ { p } ( u ) ^ { 1 / 2 } \, u ^ { 2 } \, d \Omega _ { 8 - p } ^ { 2 } \quad .",5ae41b2e24.png
"M _ { H } = M _ { X } e ^ { - c } ~ , ~ M _ { G U T } = M _ { X } e ^ { - k | y _ { 0 } | - c } ~ , ~ \,",41a959de0e.png
S _ { s t a t } \approx 2 \pi \sqrt { N _ { L } } = { \frac { \pi ^ { 2 } } { 2 G _ { N } } } \sqrt { Q _ { 1 } Q _ { 2 } P - \bar { \gamma } ^ { 2 } } .,d6071b41eb.png
"\left[ X _ { n } ^ { - } , X _ { n } ^ { + } \right] = \left[ V _ { n } ^ { - } , V _ { n } ^ { + } \right] = 1 ,",5210afedda.png
- \frac { ( 2 \pi \alpha ^ { \prime } ) ^ { 2 } } { 4 ( 2 \pi ) ^ { p } ( \alpha ^ { \prime } ) ^ { \frac { p + 1 } { 2 } } },5030b11554.png
\langle x _ { \mu } ( \tau ) x _ { \nu } ( \tau ^ { \prime } ) \rangle = \delta _ { \mu \nu } \Delta ( \tau - \tau ^ { \prime } ) = - 2 \delta _ { \mu \nu } \alpha ^ { \prime } \operatorname { l n } ( | \tau - \tau ^ { \prime } | \mu ) .,56727dc083.png
